"KODE QRIS";"LOKASI PARKIR";"TITIK PARKIR";latitude;longitude
TKO-MUTIARA-R2;"TOKO MUTIARA";TJU;;
SINAR-MAS-R2;"SINAR MAS";TJU;;
TKO-WOLU-R2;"TOKO WOLU";TJU;;
JIB-PCL-RWLG-R2;"JAMU IBOE - PECEL RAWON MBOK LEGI";TJU;;
ACRY-AHAS-R2;"ACRYLIC SHEET - HONDA AHAS SERVICE";TJU;;
GJH-TOSERBA-R2;"GAJAH TOSERBA";TJU;;
SPT-SND-ANGN-R2;"TOKO SEPATU SANDAL ANGGUN";TJU;;
PGT-IDM-GJMD-R2;"APOTEK PANGESTU - INDOMARET GAJAH MADA";TJU;;
UFO-ST-HJANK-R2;"UFO ELEKTRONIKA SIDOARJO - SOTO AYAM HJ HANIK";TJU;;
TKO-GNG-MAS-R2;"TOKO GUNUNG MAS";TJU;;
APT-OPT-GAMA-R2;"APOTEK OPTIK GAMA";TJU;;
BJ-CBSDA-R4;"BANK JATIM CABANG SIDOARJO";TJU;;
PN-SDA-R2;"PENGADILAN NEGERI SIDOARJO";TJU;;
PRNTS-JY-FC-R2;"PERINTIS JAYA FOTO COPY";TJU;;
MBHE-VERMK-3-R2;"MBAHE VERMAK 3";TJU;;
NZR-GLRY-R2;"TOKO BUSANA MUSLIM NAZIR - GLORY ELEKTRONIK";TJU;;
BDHR-CTR-AUD-R2;"TOKO BUDIDHARMA - CENTRAL AUDIO";TJU;;
STDG-CBJBG-R2;"SOTO DAGING CABANG JOMBANG";TJU;;
SPRTV-IDN-R4;"SPORTIVO INDONESIA (SIDOARJO SPORT ...)";TJU;;
BNI-KCP-SYRH-R2;"BNI KCP SYARIAH SIDOARJO";TJU;;
PS-LRNGN-SLT-R2;"PASAR LARANGAN (SELATAN)";TJU;;
LRGN-SLT-LR-R2;"PASAR LARANGAN (SELATAN) LUAR";TJU;;
TKO-MTRA-SDA-R2;"TOKO MITRA SIDOARJO";TJU;;
TKO-MBL-BKT-R2;"TOKO MEBEL BANGKIT";TJU;;
TKO-STR-ELTR-R2;"TOKO STAR ELECTRONIC";TJU;;
AZM-BIN-ATR-R2;"AZAM HERBAL - BIN ATTAR";TJU;;
TKO-TNJNG-R4;"TOKO TANJUNG";TJU;;
WNG-SLO-NLGS-R4;"AYAM BAKAR WONG SOLO - AYAM GORENG NELONGSO";TJU;;
TKO-SNTS-JY-R4;"TOKO SANTOSO JAYA";TJU;;
TKO-SNR-TRNG-R2;"TOKO SEPEDA SINAR TERANG";TJU;;
MINU-KH-MKMN-R4;"MINU KH. MUKMIN";TJU;;
DPT-LNGGNG-R4;"DEPOT LANGGENG";TJU;;
TKO-SKS-TMU-R2;"TOKO BUKU SUKSES 1 - KEDAI TEMU DJOANG";TJU;;
ANG-UTLR-MDK-R2;"LABORATORIUM ULTRA MEDICA  (ANGKRINGAN)";TJU;;
ANG-MKM-PNDM-R2;"ANGKRINGAN DEPAN MAKAM KELUARGA ASRI HING PENDHEM";TJU;;
ANG-DRM-WNTA-R2;"TK. DHARMA WANITA (ANGKRINGAN)";TJU;;
PKL-LP-SL-TG-R2;"PKL SISI SELATAN LAPAS (BAGIAN TENGAH)";TJU;;
PKL-LPS-SLTN-R2;"PKL SISI SELATAN LAPAS";TJU;;
KEJAKSN-SDA-R2;"KEJAKSAAN NEGERI SIDOARJO";TJU;;
GOR-DLT-SDA-R2;"GOR DELTA SIDOARJO";TKP;;
CKR-LPINDO-R2;"CEKER LAPINDHO ASLI (SISI BARAT)";TJU;;
TPSL-PLZ-SDA-R2;"TOPSELL PLAZA SIDOARJO";TJU;;
TKO-PKU-WAJA-R2;"TOKO PAKU WAJA";TJU;;
T-SMBR-RJKBR-R2;"TOKO SUMBER REJEKI BARU";TJU;;
PKM-PRG-R2;"PUSKESMAS PORONG";TJU;;
PERINDAG-SDA-R4;"DINAS PERINDUSTRIAN DAN PERDAGANGAN KAB.SIDOARJO";TJU;;
CNATO-BKRY-R2;"CONATO BAKERY";TJU;;
ADR-FNC-R2;"ADIRA FINANCE";TJU;;
FMRT-GJHMD-R4;"FAMILYMART GAJAH MADA";TJU;;
TKO-CHY-ABD-R2;"TOKO CAHAYA ABADI";TJU;;
POS-BKSO-ASM-R2;"POST OFFICE OF SIDOARJO - BAKSO KELANA ASEM KEMBAR";TJU;;
CAPIL-SDA-R2;"DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN SIDOARJO";TJU;;
PLG-BPR-ATMS-R4;"PELANGI GAJAH MADA -BPR PURIDANA ARTHAMAS";TJU;;
P-LRNGN-TMR-R2;"PASAR LARANGAN (TIMUR)";TKP;;
PKL-RDN-WJY-R2;"PKL JL. RADEN WIJAYA";TJU;;
WRNG-IJO-R4;"WARUNG IJO";TJU;;
WRBR-DPT-CTO-R4;"WARUNG BIRU - DEPOT SEDERHANA CAK TO";TJU;;
APT-SHT-DNRT-R4;"APOTIK SEHAT - DOESOEN ROTI";TJU;;
MOPT-GJH-PLZ-R2;"M. OPTIC - TOKO EMAS GADJAH PLAZA";TJU;;
WRSFD-DPNGR-R2;"WARUNG SEA FOOD DIPONEGORO";TJU;;
GJHPST-GAMA1-R4;"TOKO EMAS GADJAH PUSAT SIDOARJO GAMA-1";TJU;;
P-LRNGN-UTR-R4;"PASAR LARANGAN";TKP;;
CAKE-BOSS-R2;"CAKE BOSS";TJU;;
XMI-TKO-SMRU-R4;"XIAOMI AUTORIZED STORE - TOKO SEMERU";TJU;;
PKM-CANDI-R2;"PUSKESMAS CANDI";TKP;;
PKM-SDA-R2;"PUSKESMAS SIDOARJO";TJU;;
BJ-CBSYR-SDA-R4;"BANK JATIM CABANG SYARIAH SIDOARJO";TJU;;
APING-SRYA-R2;"APING'S SALON - TOKO SEPEDA GUNUNG SURYA";TJU;;
GMBNG-GMBL-R2;"ROTI GEMBONG GEMBUL SIDOARJO";TJU;;
PSR-BURUNG-R2;"PASAR BURUNG";TKP;;
DEN-MRKT2-R2;"TOKO DEN MARKET 2";;;
TKO-SUBR-JY-R2;"TOKO SUBUR JAYA";TJU;;
OPT-SION-R2;"OPTIK SION";TJU;;
SATE-BRNGN-R2;"SATE BARONGAN";TJU;;
PSR-KDNGRJO-R2;"PASAR KEDUNGREJO";TJU;;
K-POS-SPJNG-R2;"KANTOR POS SEPANJANG";TJU;;
T-SURYA-AGNG-R2;"TOKO SURYA AGUNG";TJU;;
P-BR-WDNGASR-R2;"PASAR BARU WADUNGASRI";TKP;;
PSR-GDNGN-R2;"PASAR GEDANGAN";TKP;;
APT-TUJUH-R2;"APOTIK TUJUH";TJU;;
;"PASAR KREMBUNG (TIMUR)";TKP;;
;"PASAR KREMBUNG (BARAT)";TKP;;
PST-TEMU-R2;"PASAR TEMU";TJU;;
PSR-BULANG-R2;"PASAR BULANG";TJU;;
PKM-TLNGAN-R2;"PUSKESMAS TULANGAN";TJU;;
PKM-KDNGSLO-R2;"PUSKESMAS KEDONGSOLO PORONG";TJU;;
PSR-PRMBN-R2;"PASAR PRAMBON";TKP;;
P-SPNJNG-DLM-R2;"PASAR SEPANJANG";TKP;;
PKM-KPDNGN-R2;"PUSKESMAS KEPADANGAN";TJU;;
GSYR-PPR-BLK-R2;"GROSIR SAYUR PASAR PORONG (BELAKANG)";TKP;;
LOAK-PPR-TMR-R2;"PASAR LOAK PASAR PORONG (TIMUR)";TKP;;
P-SPNJNG-LR-R2;"PASAR SEPANJANG";TJU;;
PSR-TAMAN-R2;"PASAR TAMAN";TKP;;
P-SKODN-SLTN-R2;"PASAR SUKODONO (SELATAN)";TKP;;
RM-MELATI-R2;"RUMAH MAKAN MELATI";TJU;;
PKM-SKODN-R2;"PUSKESMAS SUKODONO";TKP;;
KOP-DNKTA-R2;"KOPERASI DANA KITA";TJU;;
PKM-KRIAN-R2;"PUSKESMAS KRIAN";TKP;;
PSR-KRN-LM-R4;"PASAR KRIAN LAMA";TJU;;
BNK-BNI-R4;"BANK BNI";TJU;;
GDG-BU-HRMN-R4;"GUDEG BU HARMAN";TJU;;
PSR-SKDN-UTR-R2;"PASAR SUKODONO (UTARA)";TKP;;
P-KRN-LM-DL-R2;"PASAR KRIAN LAMA";TKP;;
PKM-BLBNDO-R2;"PUSKESMAS BALONGBENDO";TKP;;
;"TOKO SUBUR ELECTRONIC KRIAN";TJU;;
RMYN-MLL-R2;"RAMAYANA MALL";TJU;;
T-SKRA-KRIAN-R2;"TOKO SAKURA KRIAN";TJU;;
PSRB-KRN-DST-R4;"PASAR BARU KRIAN (SEKITAR DUNIA SOTO)";TKP;;
BRI-CB-SPJNG-R2;"BANK BRI KCP SEPANJANG";TJU;;
PKM-TARIK-R2;"PUSKESMAS TARIK";TKP;;
TKO-APLO-R2;"TOKO APOLLO";TJU;;
TKO-REJEKI-R2;"TOKO REJEKI";TJU;;
TKO-DMAI-JY-R2;"TOKO DAMAI JAYA";TJU;;
PKM-BDRN-R2;"PUSKESMAS BUDURAN";TKP;;
PKM-GDNGN-R2;"PUSKESMAS GEDANGAN";TKP;;
TKO-SARINA-R2;"TOKO SARINA";TJU;;
PASPOR-PGI-R2;"R2 PASAR PORONG PAGI";TKP;;
PASPOR-SG-R2;"R2 PASAR PORONG SIANG";TKP;;
PASPOR-R4;"R4 PASAR PORONG";TKP;;
